"site_no","Date","GH_Max","GH_Min","GH","year","month","day"
"02096960",2019-01-01,6.61,6.15,6.42,"2019","01","01"
"02096960",2019-01-02,6.15,5.68,5.89,"2019","01","02"
"02096960",2019-01-03,6.74,5.48,5.88,"2019","01","03"
"02096960",2019-01-04,7.21,6.64,6.83,"2019","01","04"
"02096960",2019-01-05,8.15,7.21,7.76,"2019","01","05"
"02096960",2019-01-06,7.33,6.23,6.66,"2019","01","06"
"02096960",2019-01-07,6.23,5.64,5.93,"2019","01","07"
"02096960",2019-01-08,5.64,5.28,5.43,"2019","01","08"
"02096960",2019-01-09,5.28,5.04,5.15,"2019","01","09"
"02096960",2019-01-10,5.04,4.94,4.99,"2019","01","10"
"02096960",2019-01-11,4.94,4.79,4.85,"2019","01","11"
"02096960",2019-01-12,4.79,4.62,4.69,"2019","01","12"
"02096960",2019-01-13,9.49,4.62,6.75,"2019","01","13"
"02096960",2019-01-14,9.34,6.91,8.09,"2019","01","14"
"02096960",2019-01-15,6.91,5.95,6.35,"2019","01","15"
"02096960",2019-01-16,5.95,5.5,5.7,"2019","01","16"
"02096960",2019-01-17,5.5,5.23,5.36,"2019","01","17"
"02096960",2019-01-18,5.23,4.99,5.1,"2019","01","18"
"02096960",2019-01-19,4.99,4.87,4.91,"2019","01","19"
"02096960",2019-01-20,8.11,4.9,6.64,"2019","01","20"
"02096960",2019-01-21,8,5.97,6.79,"2019","01","21"
"02096960",2019-01-22,5.97,5.6,5.79,"2019","01","22"
"02096960",2019-01-23,5.6,5.21,5.37,"2019","01","23"
"02096960",2019-01-24,10.63,5.19,7.27,"2019","01","24"
"02096960",2019-01-25,10.63,7.26,9.13,"2019","01","25"
"02096960",2019-01-26,7.26,6.22,6.64,"2019","01","26"
"02096960",2019-01-27,6.22,5.64,5.9,"2019","01","27"
"02096960",2019-01-28,5.64,5.36,5.55,"2019","01","28"
"02096960",2019-01-29,5.36,5.09,5.18,"2019","01","29"
"02096960",2019-01-30,5.21,5.09,5.13,"2019","01","30"
"02096960",2019-01-31,5.21,4.94,5.08,"2019","01","31"
"02096960",2019-02-01,4.94,4.73,4.82,"2019","02","01"
"02096960",2019-02-02,4.73,4.6,4.67,"2019","02","02"
"02096960",2019-02-03,4.64,4.56,4.59,"2019","02","03"
"02096960",2019-02-04,4.56,4.5,4.54,"2019","02","04"
"02096960",2019-02-05,4.81,4.13,4.51,"2019","02","05"
"02096960",2019-02-06,4.61,4.45,4.51,"2019","02","06"
"02096960",2019-02-07,4.46,4.39,4.43,"2019","02","07"
"02096960",2019-02-08,4.54,4.36,4.45,"2019","02","08"
"02096960",2019-02-09,4.55,4.34,4.44,"2019","02","09"
"02096960",2019-02-10,4.34,4.2,4.26,"2019","02","10"
"02096960",2019-02-11,4.24,4.19,4.21,"2019","02","11"
"02096960",2019-02-12,4.6,4.24,4.37,"2019","02","12"
"02096960",2019-02-13,6.33,4.6,5.65,"2019","02","13"
"02096960",2019-02-14,6.1,5.12,5.5,"2019","02","14"
"02096960",2019-02-15,5.12,4.79,4.92,"2019","02","15"
"02096960",2019-02-16,5.49,4.75,4.91,"2019","02","16"
"02096960",2019-02-17,5.72,5.49,5.61,"2019","02","17"
"02096960",2019-02-18,10.73,5.48,8.87,"2019","02","18"
"02096960",2019-02-19,9.9,7.05,8.16,"2019","02","19"
"02096960",2019-02-20,7.56,6.91,7.06,"2019","02","20"
"02096960",2019-02-21,9.46,7.56,8.42,"2019","02","21"
"02096960",2019-02-22,10.73,8.91,9.57,"2019","02","22"
"02096960",2019-02-23,14.21,10.32,11.51,"2019","02","23"
"02096960",2019-02-24,14.88,12.1,13.95,"2019","02","24"
"02096960",2019-02-25,12.1,8.22,9.78,"2019","02","25"
"02096960",2019-02-26,8.22,6.76,7.46,"2019","02","26"
"02096960",2019-02-27,6.76,6.11,6.38,"2019","02","27"
"02096960",2019-02-28,6.11,5.65,5.87,"2019","02","28"
"02096960",2019-03-01,6.89,5.44,5.63,"2019","03","01"
"02096960",2019-03-02,9.07,6.89,8.51,"2019","03","02"
"02096960",2019-03-03,7.79,6.53,7,"2019","03","03"
"02096960",2019-03-04,9.45,7.66,8.99,"2019","03","04"
"02096960",2019-03-05,8.28,6.44,7.11,"2019","03","05"
"02096960",2019-03-06,6.44,5.79,6.1,"2019","03","06"
"02096960",2019-03-07,5.79,5.36,5.56,"2019","03","07"
"02096960",2019-03-08,5.36,5.15,5.23,"2019","03","08"
"02096960",2019-03-09,5.19,5.13,5.15,"2019","03","09"
"02096960",2019-03-10,5.38,5.13,5.28,"2019","03","10"
"02096960",2019-03-11,5.33,5.16,5.28,"2019","03","11"
"02096960",2019-03-12,5.16,4.94,5.05,"2019","03","12"
"02096960",2019-03-13,4.94,4.8,4.85,"2019","03","13"
"02096960",2019-03-14,4.8,4.76,4.78,"2019","03","14"
"02096960",2019-03-15,5.03,4.72,4.78,"2019","03","15"
"02096960",2019-03-16,5.26,5.03,5.14,"2019","03","16"
"02096960",2019-03-17,5.24,4.63,4.97,"2019","03","17"
"02096960",2019-03-18,4.9,4.75,4.82,"2019","03","18"
"02096960",2019-03-19,4.78,4.62,4.68,"2019","03","19"
"02096960",2019-03-20,4.62,4.42,4.5,"2019","03","20"
"02096960",2019-03-21,10.68,4.41,7.97,"2019","03","21"
"02096960",2019-03-22,10.31,6.88,8.25,"2019","03","22"
"02096960",2019-03-23,6.88,5.87,6.31,"2019","03","23"
"02096960",2019-03-24,5.87,5.35,5.59,"2019","03","24"
"02096960",2019-03-26,5.25,5.01,5.17,"2019","03","26"
"02096960",2019-03-27,5.16,4.83,5.01,"2019","03","27"
"02096960",2019-03-28,4.83,4.68,4.75,"2019","03","28"
"02096960",2019-03-29,4.68,4.62,4.65,"2019","03","29"
"02096960",2019-03-30,4.63,4.58,4.6,"2019","03","30"
"02096960",2019-03-31,4.61,4.56,4.58,"2019","03","31"
"02096960",2019-04-01,4.56,4.44,4.51,"2019","04","01"
"02096960",2019-04-02,4.44,4.39,4.42,"2019","04","02"
"02096960",2019-04-03,4.47,4.43,4.46,"2019","04","03"
"02096960",2019-04-04,4.43,4.38,4.4,"2019","04","04"
"02096960",2019-04-05,5.23,4.36,4.53,"2019","04","05"
"02096960",2019-04-06,6.15,5.23,5.81,"2019","04","06"
"02096960",2019-04-07,5.75,5.15,5.39,"2019","04","07"
"02096960",2019-04-08,6.58,4.99,5.26,"2019","04","08"
"02096960",2019-04-09,8.9,6.58,8.28,"2019","04","09"
"02096960",2019-04-10,8.32,6.25,7.07,"2019","04","10"
"02096960",2019-04-11,6.25,5.51,5.86,"2019","04","11"
"02096960",2019-04-12,12.39,5.18,6.45,"2019","04","12"
"02096960",2019-04-13,14.9,12.2,13.42,"2019","04","13"
"02096960",2019-04-14,14.6,8.3,11.38,"2019","04","14"
"02096960",2019-04-15,8.3,6.7,7.34,"2019","04","15"
"02096960",2019-04-16,6.7,5.83,6.27,"2019","04","16"
"02096960",2019-04-17,5.83,5.33,5.56,"2019","04","17"
"02096960",2019-04-18,5.33,5.07,5.23,"2019","04","18"
"02096960",2019-04-19,10.13,4.9,6.06,"2019","04","19"
"02096960",2019-04-20,10.21,6.66,8.34,"2019","04","20"
"02096960",2019-04-21,6.66,5.57,5.99,"2019","04","21"
"02096960",2019-04-22,5.57,5.2,5.36,"2019","04","22"
"02096960",2019-04-23,5.2,4.98,5.08,"2019","04","23"
"02096960",2019-04-24,4.98,4.73,4.86,"2019","04","24"
"02096960",2019-04-25,4.73,4.32,4.61,"2019","04","25"
"02096960",2019-04-26,4.61,4.32,4.52,"2019","04","26"
"02096960",2019-04-27,4.69,4.55,4.63,"2019","04","27"
"02096960",2019-04-28,4.55,4.37,4.47,"2019","04","28"
"02096960",2019-04-29,4.37,4.19,4.3,"2019","04","29"
"02096960",2019-04-30,4.2,4.03,4.17,"2019","04","30"
"02096960",2019-05-01,4.21,4.04,4.14,"2019","05","01"
"02096960",2019-05-02,4.12,4,4.07,"2019","05","02"
"02096960",2019-05-03,4.11,4.05,4.08,"2019","05","03"
"02096960",2019-05-04,4.12,4.01,4.06,"2019","05","04"
"02096960",2019-05-05,4.12,4.01,4.03,"2019","05","05"
